,GPA,GREQ,GREV,GREAWA
80,3.82,170,157,3.0 (highest 3.5)
81,7.33/10,167,152,3.0
82,3.6,167,160,4.0
83,3.62,162,154,3.5
84,3.84,166,157,4
85,3.86,170,162,4.5
86,83.5/100,170,151,3
87,3.56,169,164,4.0
88,3.56,169,164,4.0
89,3.8,170,157,4
90,3.8,170,157,4
91,3.51,170,153,3
92,3.84,166,157,4
93,83.5/100,170,151,3
94,3.85,170,152,3.5
95,4.0,166,152,3.5
96,3.84,166,157,4
97,3.84,166,157,4
98,3.84,166,157,4
99,3.71,170,162,3.5
100,3.62,170,159,4.5
101,3.79,168,161,3.5
102,3.78,170,155,3.5
103,3.35,166,153,4.5
104,3.8,170,154,4
105,3.7,170,168,4.5
106,3.44,170,155,4
107,3.69,170,155,4.0
108,3.8,170,154,4
109,3.6,170,152,4
110,3.82,170,153,4.0
111,3.95,170,153,4.5
112,3.95,170,153,4.5
113,3.35,166,153,4.5
114,4,158,170,3.5
115,3.7,170,148,3
116,3.86,169,154,4
117,3.71,170,155,4.0
118,3.71,170,155,4.0
119,3.89,170,152,3.5
120,3.92,158,168,3
121,3.71,170,162,3.5
122,3.83,170,154,3.5
123,3.9,170,155,3.5
124,3.9,170,155,3.5
125,3.73,170,164,4.5
126,3.51,167,159,4.0
127,8.86/10,170,161,3
128,3.8,170,157,4
129,3.62,170,152,4
130,9.09,163,155,4
131,8.5/10,168,154,4
132,8.5/10,168,154,4
133,3.959,166,160,3.5
134,3.4,168,157,3.5
135,3.4,165,164,4
136,3.7,170,168,4.5
137,3.19,165,154,3.5
138,3.19,165,154,3.5
139,3.6,170,152,4
140,3.51,170,152,3.5
141,3.7,170,155,3.5
142,7.33/10,167,152,3
143,3.77,170,162,3.0
144,3.92,1581,168,3
145,3.92,158,168,3
146,3.92,158,168,3
147,3.92,158,168,3
148,3.44,170,155,4
149,3.44,170,155,4
150,3.5,167,162,3
151,3.35,166,153,4.5
152,3.8,168,154,4.5
153,3.4,168,157,3.5
154,3.53,167,157,3.5
155,3.51,170,153,3
156,3.51,170,153,3
157,3.51,170,153,3
158,3.51,170,153,3
159,3.85,170,155,4.5
160,3.78,169,162,3.5
161,83.5/100,170,151,3
162,3.91,170,160,3.5
163,5.7/7,170,151,2.5
164,5.7/7,170,151,2.5
165,5.7/7,170,151,2.5
166,5.7/7,170,151,2.5
167,5.7/7,170,151,2.5
168,5.7/7,170,151,2.5
169,3.65,170,153,4
170,8.86/10,170,161,3
171,8.86/10,170,161,3
172,3.7,162,164,3.6
173,3.67,170,170,NA
174,3.3,166,159,4.5
175,3.76,168,158,3
176,3.8,170,157,4
177,3.86,170,158,3.5
178,3.56,170,153,3.5
179,3.02,170,154,3.5
180,3.53,167,157,3.5
181,3.7,168,159,3
182,3.71,168,143,2.5
183,3.71,168,143,2.5
184,3.71,168,143,2.5
185,3.71,168,143,2.5
186,3.69,170,155,4.0
187,3.6,170,152,4
188,3.84,166,157,4.0
189,3.84,166,157,4
190,3.84,166,157,4
191,3.81,164,155,3
192,3.47,170,160,3.5
193,3.47,170,160,3.5
194,3.7,170,156,5.0
195,3.8,170,147,3
196,3.3,159,158,4
197,3.83,170,154,3.5
198,4.2,170,160,4.0
199,3.9045,169,157,3
200,3.9125,168,157,3.0
201,3.2,168,152,4.5
202,3.73,170,164,4.5
203,3.78,169,162,3.5
204,4.2,170,160,4
205,4.2,170,160,4.0
206,3.74,168,154,3.5
207,3.35,166,153,4.5
208,3.4,170,149,3.5
209,3.56,170,146,4
210,3.92wes,170,165,4
211,3.5,170,160,4.0
212,3.8,169,157,4
213,3.64,167,162,4
214,3.64,167,162,4
215,7.33/10,167,152,3
216,3.7,170,166,4.0
217,3.7,170,166,4.0
218,3.79,168,161,3.5
219,3.79,168,161,3.5
220,3.84,164,160,4
221,3.84,167,160,4
222,7.9/10.0,170,165,4.5
223,3.62,162,154,3.5
224,3.62,162,154,3.5
225,3.62,162,154,3.5
226,3.68,169,162,4
227,3.91,170,154,3
228,3.81(core 3.93),168,158,3.5
229,3.5,170,160,4.0
230,3.86,170,160,3.5
231,3.64,165,159,5
232,7.33/10,167,152,3
233,7.33/10,167,152,3.0
234,4.0,166,152,3.5
235,3.79,169,161,3
236,3.83,170,154,3.5
237,3.42,170,159,3.5
238,3.67,170,162,3.5
239,3.73,170,164,4.5
240,3.8,169,157,4
241,3.6,170,152,4
242,3.959,166,160,3.5
243,3.53,167,157,3.5
244,3.53,167,157,3.5
245,3.82,169,158,3.5
246,3.626,168,160,4
247,3.35,166,153,4.5
248,3.626,168,160,4
249,3.626,168,160,4
250,3.65,170,154,3
251,3.65,170,154,3
252,4.2,170,160,4.0
253,4.2,170,160,4.0
254,4.2,170,160,4.0
255,4.2,170,160,4.0
256,3.626,168,160,4
257,3.76,167,152,3
258,3.67,170,162,3.5
259,3.91,170,154,3
260,3.87,170,150,3.5
261,3.53,168,154,3.5
262,3.53,168,154,3.5
263,3.94,170,157,3.5
264,3.6,170,154,3
265,3.81,170,161,3.5
266,4.0,170,158,4.0
267,3.82,169,158,3.5
268,3.82,169,158,3.5
269,3.71,170,155,4.0
270,3.71,170,155,4.0
271,3.84,170,157,3.5
272,3.35,166,153,4.5
273,8.86/10,170,161,3
274,8.86/10,170,161,3
275,3.8,170,157,4
276,3.91,168,157,4
277,3.7,170,161,4.5
278,3.9,170,154,3.5
279,3.7,170,152,3
280,3.99,170,157,3.5
281,3.84,170,157,3.5
282,3.87,168,156,3
283,3.69,170,155,4.0
284,3.78,,,-
285,3.78,164,,3
286,3.7,170,155,3.5
287,3.99,170,157,3.5
288,3.6,169,158,4.0
289,3.8,166,166,4
290,3.36,170,155,3.5
291,3.36,170,155,3.5
292,3.36,170,155,3.5
293,3.36,170,155,3.5
294,3.36,170,155,3.5
295,3.91,170,154,3
296,3.91,170,154,3
297,3.91,170,154,3
298,3.91,170,154,3
299,3.91,170,154,3
300,3.88,170,161,4
301,3.17,169,160,3
302,3.3,170,160,5
303,3.8,168,158,3
304,3.68,169,162,4
305,3.65,169,163,4.5
306,3.82,166,162,4.0
307,3.78,169,162,3.5
308,3.8,170,157,4
309,3.75,170,149,3
310,3.51,169,157,4
311,3.7,170,158,4
312,3.52,168,163,3
313,3.626,168,160,4
314,3.8,170,156,4
315,3.86,170,162,4.5
316,3.8,168,158,3
317,3.8,168,158,3
318,3.929,170,158,3.5
319,3.81,167,157,4.5
320,3.81,167,157,4.5
321,3.81,167,157,4.5
322,3.81,168,158,3.5
323,3.86,170,162,4.5
324,3.86,170,162,4.5
325,3.73,160,167,6
326,3.47,170,160,3.5
327,3.8,167,154,4.0
328,3.41,170,142,4.0
329,3.7,170,165,4.5
330,3.3,166,160,4
331,3.98,169,160,4.5
332,3.7,170,158,4
333,3.6,164,158,3.5
334,3.65,164,158,4
335,3.81,168,158,3.5
336,3.89,170,159,3.5
337,3.8,168,158,3
338,3.9/4 (WUS),170,163,4
339,3.78,168,158,3
340,3.7,167,160,4.0
341,3.89,170,152,3.5
342,86/100,169,152,4.0
343,3.8,170,154,4
344,3.2,166,160,4
345,3.2,166,160,4
346,3.87,168,156,3
347,3.79,169,161,3
348,4,170,158,3.5
349,3.89,170,152,3.5
350,3.98,169,160,4.5
351,3.98,169,160,4.5
352,3.83,170,154,3.5
353,3.83,170,154,3.5
354,3.83,170,154,3.5
355,3.83,170,154,3.5
356,3.8,167,154,4.0
357,3.78,169,162,3.5
358,3.78,169,162,3.5
359,4,169,149,3
360,3.5,164,148,4
361,3.5,164,148,4.0
362,3.5,164,148,4
363,3.5,164,148,4
364,3.7,170,153,4
365,3.86,170,162,4.5
366,3.44,170,155,4
367,3.6,168,157,4
368,3.6,168,157,4
369,3.6,168,157,4
370,3.6,168,157,4
371,3.6,168,157,4
372,3.6,168,157,4
373,3.84,166,157,4
374,3.83,170,154,3.5
375,3.8,168,158,3
376,3.8,168,158,3
377,3.8,168,158,3
378,3.7,170,155,3.5
379,3.7,170,166,4.0
380,3.68,169,162,4
381,3.98,170,170,4.5
382,3.88,170,161,4
383,3.81,170,158,4.5
384,3.88,170,163,4
385,3.44,170,155,4
386,3.7,170,160,3.5
387,3.7,170,148,3
388,3.53,165,158,4.5
389,3.99,170,157,3.5
390,7.33/10,167,152,3
391,3.7,170,153,4.0
392,4,169,149,3
393,3.98,168,162,5.5
394,3.74,166,154,4
395,3.6,170,159,4
396,4,168,154,3.5
397,4,168,154,3.5
398,3.6,167,152,4
399,3.4,167,162,4.5
400,3.67,168,151,3.5
401,3.41,170,142,4.0
402,3.41,170,142,4.0
403,4.0,166,152,3.5
404,3.7,168,163,4
405,3.7,167,150,3.5
406,3.98,168,162,5.5
407,3.98,168,162,5.5
408,3.98,168,162,5.5
409,3.98,168,162,5.5
410,3.98,168,162,5.5
411,3.98,168,162,5.5
412,3.98,168,162,5.5
413,3.98,168,162,5.5
414,3.71,170,155,4.0
415,3.65,169,163,4.5
416,3.86,170,154,3.5
417,3.6,169,163,5
418,3.65,167,152,3
419,3.41,167,152,3
420,3.41,167,152,3
421,3.7,170,152,3.5
422,3.6,170,153,3.5
423,3.84,166,160,5
424,3.7,168,154,3.5
425,3.7,168,154,3.5
426,3.86,170,160,3.5
427,3.8,170,170,5
428,3.8,170,170,5
429,3.5,164,148,4.0
430,3.98,170,170,4.5
431,3.81,170,161,3.5
432,3.88,168,152,3.5
433,3.3,170,154,3.5
434,3.3,170,154,3.5
435,3.7,167,150,3.5
436,3.84,166,160,5
437,3.84,170,157,3.5
438,4.0,170,153,3.5
439,4.0,170,153,3.5
440,3.81,170,161,3.5
441,2.5,161,152,4
442,3.85,168,160,4.5
443,3.88,170,161,4
444,3.73,170,164,4.5
445,3.71,170,155,4.0
446,3.84,170,157,3.5
447,3.84,170,157,3.5
448,3.19,165,154,3.5
449,3.68,170,152,3.5
450,3.65,170,160,5
451,3.65,170,160,5
452,3.68,170,152,3.5
453,3.95,170,153,4.0
454,3.86,170,162,4.5
455,3.86,170,158,3.5
456,3.7,168,166,4
457,3.88,170,161,4
458,3.5,168,161,3.5
459,3.4,167,157,3.5
460,3.88,167,155,3.5
461,3.65,170,154,3
462,3.65,170,154,3
463,3.7,170,155,3.5
464,3.53,167,157,3.5
465,3.65,170,160,5
466,4.0,170,158,3.5
467,4.0,170,158,3.5
468,4.0,170,158,3.5
469,3.81,167,157,4.5
470,3.19,165,154,3.5
471,3.48,167,159,4.0
472,3.69,170,155,4.0
473,3.86,170,158,3.5
474,3.68,170,152,3.5
475,3.87,168,156,3
476,3.87,168,156,3
477,3.9,170,155,3.5
478,3.81,168,158,3.5
479,3.81,167,157,4.5
480,3.64,170,153,4
481,3.64,170,153,4
482,3.55,170,157,4.0
483,3.39,167,152,4
484,3.39,167,152,4
485,3.95,168,159,4.0
486,3.7,170,158,3.5
487,3.98,170,159,4.0
488,3.76,170,159,4
489,3.96,170,152,3
490,3.76,170,159,4
491,4.0,169,157,3.5
492,3.89,170,152,3.5
493,3.8,170,161,3.5
494,3.9,,,N/A
495,3.9,,,N/A
496,3.69,169,153,4
497,3.69,169,153,4
498,3.77,170,150,3.5
499,3.56,170,153,3.5
500,3.79,169,161,3
501,3.79,169,161,3
502,3.79,169,161,3
503,3.79,169,161,3
504,3.79,169,161,3
505,3.79,169,161,3
506,3.7,170,158,4
507,8.86/10,170,161,3
508,3.61,164,158,4
509,3.67,170,149,4.0
510,3.67,170,149,4.0
511,3.76,170,159,4
512,3.74,170,157,4
513,3.74,170,157,4
514,3.74,170,157,4
515,3.74,170,157,4
516,3.61,170,160,4.5
517,3.5,170,160,4
518,3.5,170,160,4
519,3.5,170,160,4
520,3.5,170,160,4
521,3.5,170,160,4
522,3.4,170,160,4
523,3.52,170,160,4
524,3.81,167,157,4.5
525,3.19,165,154,3.5
526,3.8,169,157,4
527,83.5/100,170,151,3
528,4.0,169,157,3.5
529,4.0,169,157,3.5
530,4.0,169,157,3.5
531,4.0,169,157,3.5
532,4.0,169,157,3.5
533,3.19,165,154,3.5
534,3.53,167,157,3.5
535,3.5,168,161,6
536,3.85,,,-
537,3.86,169,154,4
538,3.88,170,155,3
539,3.4,167,162,4.5
540,3.4,167,162,4.5
541,3.71,170,155,4.0
542,3.83,170,154,3.5
543,3.83,170,154,3.5
544,3.3,170,154,3.3
545,3.85,168,160,4.5
546,3.626,168,160,4
547,3.77,170,150,3.5
548,3.7,166,164,4.5
549,3.65,170,160,5
550,3.83,168,163,4
551,3.81,167,157,4.5
552,3.71,170,155,4.0
553,3.65,162,155,4.0
554,4,170,159,5
555,3.71,170,162,5.0
556,3.9125,169,157,3
557,3.6,169,163,5
558,3.6,169,163,5
559,3.6,169,163,5
560,3.6,169,163,5
561,3.6,169,163,5
562,3.3,170,154,3
563,3.83,170,161,3.5
564,3.8,169,157,4
565,3.5,170,154,3
566,3.7,170,153,4.0
567,3.5,164,170,5.5
568,3.89,170,159,3.5
569,3.84,169,155,4.5
570,3.98,170,170,4.5
571,3.97,168,157,4.5
572,3.87,168,156,3
573,3.6,170,152,4
574,3.35,166,153,4.5
575,3.626,168,160,4
576,3.87,168,156,3
577,3.74,168,154,3.5
578,3.6,170,162,4
579,3.68,169,162,4
580,3.68,169,162,4
581,3.3,170,160,5
582,7.33/10,167,152,3.0
583,3.8,170,156,4
584,3.86,170,158,3.5
585,3.6,170,162,4
586,3.82,166,162,4.0
587,3.85,168,160,4.5
588,8.44/10,166,157,4
589,3.78,169,162,3.5
590,3.78,169,162,3.5
591,3.7,170,148,3
592,3.75,170,149,3
593,3.8,168,166,4.5
594,3.7,167,160,4.0
595,3.83,170,161,3.5
596,3.87,168,156,3
597,3.77,170,158,3.5
598,3.3,170,154,3
599,3.41,170,142,4.0
600,3.85,167,152,3.5
601,3.81,168,158,3.5
602,3.81,168,158,3.5
603,3.81,168,158,3.5
604,3.81,168,158,3.5
605,3.81,168,158,3.5
606,3.5,,,-
607,3.84,166,161,4
608,3.88,170,161,4
609,3.7,170,166,4.0
610,3.81,170,161,3.5
611,83.5/100,170,151,3
612,3.85,,,-
613,3.9,169,156,3
614,3.8,169,157,4
615,3.7,166,164,4.5
616,3.68,169,162,4
617,3.9,170,153,4.5
618,3.9,170,156,4
619,3.98,168,162,5.5
620,3.98,168,162,5.5
621,3.7,170,148,3
622,3.9125,169,157,3
623,4.0,,,na
624,3.8,168,166,4.5
625,3.3,170,160,5
626,3.7,170,158,4
627,3.626,168,160,4
628,3.73,170,164,4.5
629,3.81,167,157,4.5
630,3.91,,,NA
631,3.56,170,153,3.5
632,3.71,170,155,4.0
633,3.6,168,160,4
634,3.65(WES),170,166,4.5
635,3.5,168,160,4.0
636,3.7,170,153,4.0
637,3.19,165,154,3.5
638,3.7,170,155,3.5
639,3.91,170,157,4
640,3.71,170,162,5.0
641,3.41,170,142,4.0
642,3.3,170,160,5
643,3.8,170,150,3.5
644,3.8,170,152,3.5
645,3.6,168,160,4
646,3.7,167,160,4.0
647,3.8,170,158,4
648,3.35,166,153,4.5
649,3.8,169,157,4
650,3.86,170,158,3.5
651,3.88,170,161,4
652,3.91,169,152,3.5
653,3.68,169,162,4
654,3.92,170,153,4
655,3.83,168,163,4
656,3.83,170,161,3.5
657,3.81,167,157,4.5
658,-,169,156,4.5
659,3.71,170,155,4.0
660,3.86,170,152,3.5
661,3.4,170,149,3.5
662,3.52,168,163,3
663,3.51,170,153,3
664,3.4,169,159,3.5
665,3.4,167,162,4.5
666,9.09,163,155,4
667,3.57,169,152,3.5
668,3.83,170,154,3.5
669,3.98,170,170,4.5
670,3.2,170,169,5.5
671,3.74,167,160,6
672,3.7,170,153,4.0
673,3.7,170,166,4.0
674,3.48,167,159,4.0
675,3.43,167,147,3.5
676,3.6,168,160,4
677,3.6,168,160,4
678,3.6,168,160,4
679,3.7,168,161,3.5
680,3.7,167,160,4.0
681,3.82,169,164,5.0
682,3.7,168,161,3.5
683,3.7,168,161,3.5
684,3.8,170,169,GMAT 5.0
685,3.8,170,169,GMAT 5.0
686,3.89,170,157,3
687,3.7,167,160,4.0
688,3.7,167,160,4.0
689,3.81,170,161,3.5
690,3.76,170,159,4
691,3.95,170,156,3.5
692,3.66,167,164,4.0
693,3.56,170,153,3.5
694,9.09,163,155,4
695,3.7,170,158,4
696,3.90,170,164,4.0
697,3.90,170,164,4.0
698,2.5,161,152,4
699,2.5,161,152,4
700,3.76,170,159,4
701,3.3,167,155,4
702,3.3,167,155,4
703,3.35,166,153,4.5
704,3.85,168,160,4.5
705,3.85,167,152,3.5
706,3.85,167,152,3.5
707,3.86,170,158,3.5
708,3.86,170,158,3.5
709,3.83,170,161,3.5
710,3.83,170,161,3.5
711,3.83,170,161,3.5
712,3.71,170,155,4.0
713,3.7,170,165,4.5
714,3.85,167,152,3.5
715,3.71,158,170,4.5
716,3.94,170,167,3.5
717,3.89,170,156,3
718,3.73,170,164,4.5
719,3.73,170,164,4.5
720,3.6,165,158,4
721,3.6,170,162,4.5
722,3.7,170,158,4
723,3.84,166,160,5
724,3.51,170,160,5
725,3.9045,169,157,3
726,3.58,169,161,5
727,3.8,169,157,4
728,3.81,167,157,4.5
729,3.9,170,155,3.5
730,3.9,170,155,3.5
731,3.8,170,155,3.5
732,3.98,170,170,4.5
733,Second Class,168,152,3
734,3.89,170,159,3.5
735,3.77,170,158,3.5
736,3.71,170,162,5.0
737,3.91,170,157,4
738,3.67,168,157,3
739,3.78,170,154,3
740,3.78,170,154,3
741,3.51,170,153,3
742,3.9045,169,157,3
743,3.41,167,152,3
744,3.98,168,162,5.5
745,3.66,169,162,4.5
746,3.39/5.0,167,162,4
747,3.8,170,156,4
748,3.5,164,170,5
749,3.5,159,169,5
750,3.8+,170,153,4
751,N/A,,,N/A
752,3.91,170,157,4
753,3.81,167,157,4.5
754,3.9045,169,157,3
755,3.92,170,161,3.5
756,3.41,167,152,3
757,3.41,167,152,3
758,3.56,170,166,4.5
759,3.35,166,153,4.5
760,3.95,168,159,4.0
761,3.79,170,159,3.5
762,3.98,168,162,5.5
763,3.98,168,162,5.5
764,3.98,168,162,5.5
765,3.77,170,158,3.5
766,3.77,170,158,3.5
767,3.77,170,158,3.5
768,3.77,170,158,3.5
769,3.8,168,158,3.0
770,3.91,168,159,4
771,3.89,170,152,3.5
772,3,167,163,4.5
773,3.78,168,158,3
774,3.9045,169,157,3
775,3.68,169,162,4
776,3.88,170,159,3.5
777,3.54,168,148,3
778,3.91,167,157,4.5
779,3.88,170,159,3.5
780,3.39,167,152,4
781,3.79,170,159,3.5
782,3.6,170,163,4.0
783,3.73,167,160,3.5
784,3.56,170,166,4.5
785,3.79,170,156,4.5
786,3.79,170,156,4.5
787,3.79,170,156,4.5
788,3.79,170,156,4.5
789,3.79,170,156,4.5
790,3.79,170,156,4.5
791,3.73,167,160,3.5
792,3.3,170,154,3
793,3.3,170,154,3
794,3.95,170,161,3.5
795,3.4,170,153,4
796,3.88,170,155,3.0
797,3.80,170,148,3
798,3.91,167,157,4.5
799,3.57,170,147,3
800,3.93,170,161,3
801,3.8,169,148,3.5
802,3.94,167,154,3.5
803,3.80,170,160,3
804,3.81,167,152,3.5
805,3.91,167,157,4.5
806,3.21,170,157,4.5
807,3.12,165,153,3.5
808,2.8,167,163,4
809,3.70,170,155,3.5
810,3.94,155,170,3
811,3.4,170,167,4
812,3.3,170,154,3
813,1,1,1,1
814,3.79,168,153,3
815,9.18/10,170,161,4
816,3.75/4.3 HK Univ,170,155,3.0
817,77.38/100,167,155,3.5
818,3.65,167,167,4
819,3.3,170,154,3
820,4.0,168,159,5
821,6/9,170,159,4.5
822,3.94,170,161,3
823,3.7,169,154,3.5
824,3.7,165,155,3.5
825,3.7,165,155,3.5
826,4,164,147,3
827,3.9,170,155,3.5
828,90.4/100,168,164,3.0
829,3.63,170,148,3.5
830,3.6,169,159,4
831,[,,,[
832,3.73,170,160,3.5
833,3.73,170,160,3.5
834,3.5,170,152,3
835,3.71,170,157,3.0
836,3.76,170,150,3
837,8.09/10,169,159,3
838,3.6,160,154,4.0
839,3.49,168,158,4.0
840,3.4,168,158,4.0
841,3.49,168,158,4
842,3.62,170,159,3
843,3.88,170,157,3
844,3.88,170,157,3
845,2.52,680,650,5.5
846,3.67,170,162,4
847,3.66,170,158,3.5
848,3.66,170,155,3.0
849,4.0,,,Exempted
850,3.67,168,165,5
851,3.73,163,155,3.5
852,3.8,168,159,3.5
853,3.4,168,154,4.5
854,3.4,168,154,4.5
855,3.5,170,162,4
856,3.9,170,160,3.5
857,3.83,167,157,3.5
858,3.8,165,150,3
859,3.65,167,150,4
860,3.45,170,155,3
861,3.93,167,159,3.0
862,3.9,170,157,4.0
863,3.9,170,157,4.0
864,3.9,170,157,4.0
865,3.60,170,161,3.5
866,3.54,170,162,4
867,3.70,170,156,3.0
868,3.83,161,149,3
869,3.75,,,-
870,3.46,170,161,3.5
871,4.41/5.0,170,153,3.0
872,3.3,160,157,3.5
873,3.74,170,161,4
874,3.6,168,149,3
875,3.45,170,155,3
876,3.75,170,164,3
877,9.1,168,164,3
878,3.93,167,159,3.0
879,3.8,161,157,4
880,3.39,168,158,4
881,3.65,166,163,4.0
882,3.7,170,155,4
883,3.4,170,154,4.5
884,3.45,170,155,4.0
885,3.73,170,157,3.5
886,3.73,163,155,3.5
887,3.9,170,157,4
888,3.75,170,160,4
889,3.75,170,160,4
890,3.89,167,155,4
891,3.89,167,155,4
892,3.73,163,155,3.5
893,3.89,167,155,4
894,3.75,170,164,3
895,3.92,166,164,3.0
896,3.51,168,147,4
897,3.51,168,147,4
898,3.90,170,157,4
899,3.45,170,155,3
900,3.69,163,164,4.5
901,3.69,163,164,4.5
902,3.91,170,158,4
903,3.69,170,155,3.5
904,3.69,170,155,3.5
905,3.69,170,155,3.5
906,3.5,170,161,4
907,3.6,168,149,3
908,3.65,170,164,3.5
909,3.54 (8.0/10),167,163,5
910,3.91,170,158,4
911,4.00,167,155,4
912,3.75,170,164,3
913,3.5,170,162,4.0
914,3.7,170,155,4
915,3.73,170,157,3.5
916,3.45,170,155,3
917,3.9,170,160,3.5
918,3.6,168,149,3
919,3.90,170,157,4
920,3.42,170,151,3.5
921,3.3,167,163,5.0
922,3.874,160,159,5
923,3.7,169,154,3.5
924,3.82,170,155,3.5
925,3.1,164,159,3
926,3.8,168,147,3.5
927,3.90,170,160,3
928,3.5 8.03/10,168,150,3
929,3.52,167,151,3.5
930,3.42,169,154,4.5
931,-,,,-
932,3.25,164,151,5
933,3.5 (8.03),168,150,3
934,3.90,170,157,4
935,3.41,170,152,4
936,3.41,170,152,4
937,4.0,170,157,4
938,3.68,170,155,4
939,3.82,170,155,3.5
940,3.5,165,152,3
941,3.4,167,156,3.5 (highest 4)
942,3.53,167,149,3.5
943,3.4,168,154,4.5
944,9.1,168,164,3
945,3.73,170,157,3.5
946,3.98,170,159,4.0
947,3.95,170,160,4.5
948,3.45,170,155,3
949,3.6,163,168,3.0
950,3.83,170,163,3.5
951,3.83,170,163,3.5
952,4.41/5.0,170,153,3.0
953,9.1,168,164,3
954,3.5 (8.03),168,150,3
955,4.0,170,162,4.0
956,4.0,170,162,4.0
957,4.0,170,162,4.0
958,4.0,170,162,4.0
959,3.7,,,-
960,3.7,170,155,4
961,3.85,170,162,4
962,3.24,170,154,4
963,3.8,168,160,3.5
964,3.6,,,-
965,3.90,170,157,4
966,3.9,170,157,4
967,8.3,163,146,3
968,8.21/10,168,154,4
969,3.7,170,155,4
970,3.7,170,155,4
971,3.7,170,155,4
972,86,170,151,3
973,3.85,170,162,4
974,3.85,170,162,4
975,3.67,170,159,3.5
976,3.8,170,156,4
977,3.39,168,158,4.0
978,3.39,168,158,4.0
979,3.39,168,158,4
980,3.95,170,159,3.5
981,3.84,167,152,5.5
982,3.2,167,151,4.0
983,3.55,170,158,4
984,3.55,170,158,4
985,3.86,168,151,3.0
986,3.65,170,164,3.5
987,4.0,167,155,4
988,3.92,170,152,3.5
989,3.95,170,160,4.5
990,3.6,168,149,3
991,3.45,170,155,3
992,3.77,170,159,4.0
993,3.5,170,163,4
994,3.46,,,-
995,90.41/100,168,164,3.0
996,3.86,170,166,5.5
997,3.4,168,154,4.5
998,3.98,170,159,4.0
999,3.98,170,159,4.0
1000,3.7,169,154,3.5
1001,3.7,169,154,3.5
1002,3.7,169,154,3.5
1003,3.83,170,157,3.5
1004,3.71,170,157,3.0
1005,3.71,170,157,3.0
1006,3.95,163,150,3
1007,3.74,170,161,4
1008,3.73,170,158,4
1009,3.74,170,161,4
1010,3.83,170,157,3.5
1011,3.9,170,161,3
1012,3.83,170,162,3.5
1013,3.7,170,158,3
1014,3.65,170,164,3.5
1015,3.45,170,155,3
1016,3.83,170,162,3.5
1017,3.82,167,160,3.5
1018,3.81,170,155,4
1019,3.82,170,155,4
1020,3.8,168,160,3.5
1021,3.8,168,160,3.5
1022,3.8,168,160,3.5
1023,9.1/10,168,164,3
1024,4,167,155,4
1025,3.90,170,157,4
1026,3.9,170,157,4
1027,3.4,170,159,4
1028,3.73,163,155,3.5
1029,3.45,170,155,3
1030,3.67,170,159,3.5
1031,3.866,170,164,4
1032,3.66,170,163,3.5
1033,3.66,170,163,3.5
1034,3.95,170,160,4.5
1035,3.7,170,158,3
1036,90.41/100,168,164,3.0
1037,3.80,165,155,3.5
1038,3.9,161,150,3.5
1039,3.52,167,151,3.5
1040,86,170,151,3
1041,3.52,168,160,4
1042,3.52,168,160,4
1043,3.45,170,155,3
1044,3.4,170,159,4
1045,3.86,170,159,4
1046,8.04/10,169,149,3.5
1047,3.86,170,166,5.5
1048,3.86,170,166,5.5
1049,3.95,170,163,3
1050,3.4,170,159,4
1051,3.4,170,159,4
