,date
590,12/25/17
591,1/3/18
592,1/3/18
593,1/29/18
594,1/30/18
595,1/2/18
596,11/29/17
597,1/3/18
598,1/4/18
599,12/15/17
600,1/13/18
601,1/14/18
602,1/7/18
603,1/31/18
604,12/29/17
605,12/14/17
606,1/14/18
607,10/14/17
608,1/30/18
609,1/1/18
610,1/2/18
611,1/14/18
612,1/11/18
613,12/30/17
614,11/29/17
615,12/29/17
616,1/14/18
617,1/14/18
618,1/9/18
619,1/6/18
620,12/30/17
621,12/29/17
622,12/29/17
623,12/30/17
624,1/14/18
625,12/14/17
626,12/29/17
627,12/30/17
628,1/1/18
629,12/30/17
630,12/30/17
631,12/30/17
632,12/30/17
633,12/9/17
634,12/30/17
635,1/14/18
636,1/14/18
637,12/21/17
638,11/30/17
639,1/23/18
640,1/3/18
641,12/30/17
642,12/12/17
643,1/28/18
644,1/9/18
645,1/12/18
646,1/6/18
647,11/30/17
648,1/16/16
649,1/22/16
650,12/14/17
651,1/18/18
652,11/30/17
653,1/11/18
654,12/14/17
655,1/4/18
656,11/29/17
657,1/4/18
658,1/14/18
659,1/14/18
660,2/8/18
661,12/11/17
662,1/9/18
663,11/29/17
664,12/27/17
665,12/14/17
666,1/17/18
667,1/15/18
668,2/14/18
669,12/14/17
670,1/25/18
671,1/30/18
672,1/18/18
673,1/5/18
674,1/14/18
675,11/28/17
676,1/23/18
677,1/9/18
678,12/9/17
679,1/13/18
680,12/31/17
681,1/3/18
682,1/23/18
683,1/9/18
684,12/29/17
685,1/10/18
686,12/31/17
687,2/3/18
688,1/3/18
689,12/14/17
690,12/30/17
691,1/1/18
692,1/3/18
693,12/30/17
694,2/7/18
695,11/29/17
696,1/16/18
697,11/21/17
698,1/14/18
699,1/31/18
700,2/6/18
701,12/4/17
702,12/4/17
703,2/1/18
704,2/1/18
705,11/16/17
706,11/14/17
707,11/14/17
708,12/1/17
709,11/29/17
710,1/6/18
711,1/3/18
712,11/29/17
713,1/8/18
714,1/2/18
715,12/13/17
716,12/28/17
717,1/3/18
718,1/13/18
719,11/29/17
720,11/30/17
721,1/18/18
722,10/5/17
723,12/30/17
724,12/30/17
725,1/3/18
726,12/19/17
727,12/29/17
728,11/29/17
729,12/28/17
730,1/2/18
731,1/2/18
732,1/1/18
733,1/21/18
734,12/31/17
735,1/21/18
736,1/2/18
737,11/29/17
738,12/30/17
739,12/13/17
740,1/7/18
741,1/17/18
742,12/26/17
743,11/26/17
744,11/3/17
745,11/30/17
746,11/29/17
747,1/13/18
748,1/14/18
749,1/14/18
750,1/3/18
751,1/1/18
752,1/2/18
753,1/3/17
754,1/3/17
755,1/3/18
756,10/28/17
757,12/14/17
758,1/22/18
759,1/9/18
760,1/1/17
761,1/2/18
762,1/14/18
763,12/10/17
764,12/6/17
765,12/14/17
766,12/12/17
767,1/14/18
768,12/12/17
769,1/14/18
770,12/16/17
771,12/16/17
772,1/7/18
773,1/7/18
774,11/13/17
775,12/11/17
776,11/7/17
777,6/25/17
778,1/2/18
779,1/2/18
780,11/26/17
781,12/25/17
782,11/20/17
783,10/14/17
784,11/27/17
785,10/12/17
786,12/12/17
787,11/14/17
788,12/11/17
789,12/10/17
790,12/14/17
791,12/14/17
792,12/14/17
793,12/12/17
794,11/28/17
795,11/28/17
796,11/28/17
797,12/10/17
798,12/10/17
799,11/29/17
800,7/31/17
801,11/28/17
802,11/14/17
803,11/14/17
804,11/14/17
805,11/29/17
806,10/18/17
807,2/13/17
808,9/26/17
809,11/14/17
810,10/1/17
811,10/1/17
